kind,nm_key,display,wb_display,supplier,month,vladimir_old_raw,vladimir_new_raw,delta_raw,planning_03,rounded_new_24,diff_03_minus_rounded
03_ne_round_new_24,машинкасуперкар_красная,машинка суперкар_красная,OZN3579745100,машинка суперкар_красная,2026-05,,12.0,,180.0,24,156.0
03_ne_round_new_24,машинкасуперкар_красная,машинка суперкар_красная,OZN3579745100,машинка суперкар_красная,2026-06,,153.0,,180.0,168,12.0
03_ne_round_new_24,машинкасуперкар_красная,машинка суперкар_красная,OZN3579745100,машинка суперкар_красная,2026-07,,165.0,,180.0,168,12.0
03_ne_round_new_24,машинкасуперкар_красная,машинка суперкар_красная,OZN3579745100,машинка суперкар_красная,2026-08,,176.0,,324.0,192,132.0
03_ne_round_new_24,машинкасуперкар_красная,машинка суперкар_красная,OZN3579745100,машинка суперкар_красная,2026-09,,294.0,,504.0,312,192.0
03_ne_round_new_24,автотрек_дино,автотрек_дино,OZN3579748623,автотрек_дино,2026-05,,12.0,,144.0,24,120.0
03_ne_round_new_24,автотрек_дино,автотрек_дино,OZN3579748623,автотрек_дино,2026-06,,141.0,,176.0,144,32.0
03_ne_round_new_24,автотрек_дино,автотрек_дино,OZN3579748623,автотрек_дино,2026-07,,176.0,,240.0,192,48.0
03_ne_round_new_24,автотрек_дино,автотрек_дино,OZN3579748623,автотрек_дино,2026-08,,235.0,,304.0,240,64.0
03_ne_round_new_24,автотрек_дино,автотрек_дино,OZN3579748623,автотрек_дино,2026-09,,294.0,,480.0,312,168.0
03_ne_round_new_24,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-05,,118.0,,432.0,120,312.0
03_ne_round_new_24,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-06,,412.0,,624.0,432,192.0
03_ne_round_new_24,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-07,,588.0,,864.0,600,264.0
03_ne_round_new_24,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-08,,824.0,,1200.0,840,360.0
03_ne_round_new_24,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-09,,1176.0,,1776.0,1176,600.0
03_ne_round_new_24,инт_собака_коричневобелая,инт_собака_коричневобелая,OZN3579790452,инт_собака_коричневобелая,2026-05,,59.0,,120.0,72,48.0
03_ne_round_new_24,инт_собака_коричневобелая,инт_собака_коричневобелая,OZN3579790452,инт_собака_коричневобелая,2026-06,,118.0,,144.0,120,24.0
03_ne_round_new_24,инт_собака_коричневобелая,инт_собака_коричневобелая,OZN3579790452,инт_собака_коричневобелая,2026-07,,141.0,,192.0,144,48.0
03_ne_round_new_24,инт_собака_коричневобелая,инт_собака_коричневобелая,OZN3579790452,инт_собака_коричневобелая,2026-08,,176.0,,216.0,192,24.0
03_ne_round_new_24,инт_собака_коричневобелая,инт_собака_коричневобелая,OZN3579790452,инт_собака_коричневобелая,2026-09,,200.0,,360.0,216,144.0
03_ne_round_new_24,инт_кошка,инт_кошка,OZN3579803134,инт_кошка,2026-05,,59.0,,120.0,72,48.0
03_ne_round_new_24,инт_кошка,инт_кошка,OZN3579803134,инт_кошка,2026-06,,118.0,,144.0,120,24.0
03_ne_round_new_24,инт_кошка,инт_кошка,OZN3579803134,инт_кошка,2026-07,,141.0,,192.0,144,48.0
03_ne_round_new_24,инт_кошка,инт_кошка,OZN3579803134,инт_кошка,2026-08,,176.0,,216.0,192,24.0
03_ne_round_new_24,инт_кошка,инт_кошка,OZN3579803134,инт_кошка,2026-09,,200.0,,360.0,216,144.0
03_ne_round_new_24,инт_собака_белая,инт_собака_белая,OZN3579805884,инт_собака_белая,2026-05,,59.0,,120.0,72,48.0
03_ne_round_new_24,инт_собака_белая,инт_собака_белая,OZN3579805884,инт_собака_белая,2026-06,,118.0,,144.0,120,24.0
03_ne_round_new_24,инт_собака_белая,инт_собака_белая,OZN3579805884,инт_собака_белая,2026-07,,141.0,,192.0,144,48.0
03_ne_round_new_24,инт_собака_белая,инт_собака_белая,OZN3579805884,инт_собака_белая,2026-08,,176.0,,216.0,192,24.0
03_ne_round_new_24,инт_собака_белая,инт_собака_белая,OZN3579805884,инт_собака_белая,2026-09,,200.0,,360.0,216,144.0
